日付 時刻,始値,高値,安値,終値,出来高,売買代金
2017-08-10 夜間,19710,19715,19350,19350,453677,8864770520
2017-08-10 日中,19780,19815,19665,19710,413703,8163594505
2017-08-09 夜間,19740,19770,19670,19770,317143,6249621125
2017-08-09 日中,19910,19915,19640,19730,705606,13933252950
2017-08-08 夜間,19980,20030,19930,19945,184450,3684814095
2017-08-08 日中,20035,20060,19955,19985,271210,5422926135
2017-08-07 夜間,20040,20050,20020,20050,71568,1433843806
2017-08-07 日中,20060,20070,20020,20040,198161,3972436405
2017-08-04 夜間,19950,20055,19945,20045,208462,4172100175
2017-08-04 日中,19945,19970,19920,19950,215432,4296399285
2017-08-03 夜間,19990,20010,19950,19950,184996,3695939550
2017-08-03 日中,20040,20055,19970,20010,285581,5714646075
2017-08-02 夜間,20065,20090,20000,20050,208682,4183641425
2017-08-02 日中,20050,20095,20010,20075,316631,6351557535
2017-08-01 夜間,19970,20035,19955,20020,224592,4490360412
2017-08-01 日中,19930,19980,19910,19980,277773,5542547485
2017-07-31 夜間,19970,19975,19910,19915,164447,3279327085
2017-07-31 日中,19935,19960,19890,19940,326118,6499418380
2017-07-28 夜間,19960,19975,19920,19960,259693,5181055050
2017-07-28 日中,20010,20030,19910,19955,310641,6200456065
2017-07-27 夜間,20090,20125,19950,20035,305387,6125585065
2017-07-27 日中,20010,20165,19990,20050,447206,8976449840
2017-07-26 夜間,20055,20085,19990,20020,216216,4336231775
2017-07-26 日中,20090,20100,20005,20040,264769,5310109195
2017-07-25 夜間,19940,20085,19930,20055,260657,5214638471
2017-07-25 日中,19950,20015,19915,19920,276021,5508583485
2017-07-24 夜間,19910,19955,19855,19955,242328,4822729880
2017-07-24 日中,19945,19980,19875,19945,324373,6462008310
2017-07-21 夜間,20070,20080,19950,19960,255351,5107124761
2017-07-21 日中,20065,20115,20050,20080,241562,4850882425
2017-07-20 夜間,20100,20140,20020,20065,283170,5688986229
2017-07-20 日中,20015,20135,20005,20090,329547,6616600025
2017-07-19 夜間,19995,20020,19950,20020,150811,3013701280
2017-07-19 日中,19965,20010,19930,20010,248947,4974028405
2017-07-18 夜間,19990,20005,19890,19975,275171,5488332255
2017-07-18 日中,20040,20060,19925,19980,365493,7304975110
2017-07-14 夜間,20090,20110,20015,20025,216667,4343752230
2017-07-14 日中,20130,20140,20080,20110,272082,5472768840
2017-07-13 夜間,20100,20130,20090,20125,164696,3311748415
2017-07-13 日中,20145,20165,20045,20080,340833,6851724815
2017-07-12 夜間,20075,20160,20070,20140,279806,5628075850
2017-07-12 日中,20105,20140,20040,20060,310231,6234057000
2017-07-11 夜間,20180,20180,20080,20115,239373,4818481445
2017-07-11 日中,20050,20190,20050,20180,354532,7136356246
2017-07-10 夜間,20105,20125,20050,20050,181587,3647888550
2017-07-10 日中,20055,20120,20010,20100,327438,6568740525
2017-07-07 夜間,19945,20050,19920,20035,296252,5917989390
2017-07-07 日中,19865,19965,19830,19945,488262,9722044570
2017-07-06 夜間,19975,19990,19860,19875,370979,7388870030
2017-07-06 日中,20055,20070,19925,19965,417901,8356120135
2017-07-05 夜間,20080,20130,19990,20065,329982,6623922470
2017-07-05 日中,20010,20075,19875,20070,556401,11113949450
2017-07-04 夜間,20015,20080,20015,20060,149481,2997079035
2017-07-04 日中,20180,20195,19960,20015,476935,9576018845
2017-07-03 夜間,20075,20190,20070,20185,223533,4501554735
2017-07-03 日中,20040,20090,20015,20070,274200,5498659999
2017-06-30 夜間,19985,20090,19975,20080,328734,6584224935
2017-06-30 日中,19990,20035,19930,19995,503296,10055966190
2017-06-29 夜間,20215,20250,19855,19980,629972,12659980379
2017-06-29 日中,20245,20270,20185,20215,353539,7149311735
2017-06-28 夜間,20135,20215,20050,20215,488001,9815199225
2017-06-28 日中,20120,20215,20105,20145,392122,7903696615
2017-06-27 夜間,20140,20210,20100,20150,360355,7261644215
2017-06-27 日中,20210,20215,20145,20150,283482,5721607696
2017-06-26 夜間,20150,20200,20130,20180,258746,5218826810
2017-06-26 日中,20075,20160,20075,20125,251222,5055146165
2017-06-23 夜間,20085,20105,20040,20090,228721,4592574105
2017-06-23 日中,20105,20115,20050,20075,266225,5347902475
2017-06-22 夜間,20060,20135,20040,20120,243441,4890232150
2017-06-22 日中,20100,20160,20065,20075,296667,5964154457
2017-06-21 夜間,20055,20155,20040,20105,289864,5826686885
